order_id,customer_id,order_date,order_status,net_sales,disc
6698908680430,5975963173102,01-09-2025 00:00,Valid,5762.37,0.225906
6698907631854,6929655791854,01-09-2025 00:00,Valid,724.5,0.216757
6698905895150,8773464359150,01-09-2025 00:00,Valid,3315.01,0.29438
6698905960686,6000590192878,01-09-2025 00:00,Valid,1609.3,0.115769
6698905043182,6929655791854,01-09-2025 00:00,Not Valid,0,
6698904846574,8309890515182,01-09-2025 00:00,Valid,1846.01,0.313498
6698902225134,8773479596270,01-09-2025 00:00,Valid,1160.73,0.316417
6698900652270,7788298502382,01-09-2025 00:00,Valid,1961,0.119838
6698899833070,7875689775342,01-09-2025 00:00,Valid,1976.01,0.17114
6698897932526,7039549735150,01-09-2025 00:00,Valid,396.73,0.077372
6698897309934,7393350779118,01-09-2025 00:00,Valid,3086.01,0.216552
6698897244398,7600429269230,01-09-2025 00:00,Valid,751.01,0.141713
6698896654574,8392791097582,01-09-2025 00:00,Valid,896,0.293375
6698892624110,8773460852974,01-09-2025 00:00,Valid,1472.97,0.398545
6698892361966,8606172184814,01-09-2025 00:00,Valid,65.01,0.133316
6698890625262,7459360571630,01-09-2025 00:00,Valid,2593.51,0.192055
6698889969902,8123732099310,01-09-2025 00:00,Valid,814.01,0.090502
6698889314542,6883827253486,01-09-2025 00:00,Valid,3432,0.12
6698885546222,8242344493294,01-09-2025 00:00,Valid,9217.02,0.161328
6698884399342,7996445196526,01-09-2025 00:00,Not Valid,0,
6698883383534,7330202157294,01-09-2025 00:00,Valid,1866,0.119811
6698883121390,8708257317102,01-09-2025 00:00,Valid,1150.01,0.539814
6698882826478,8322943320302,01-09-2025 00:00,Valid,1870,0.15
6698882597102,7881550987502,01-09-2025 00:00,Valid,445,0.074844
6698881974510,8773381980398,01-09-2025 00:00,Valid,2566.01,0.266856
6698881810670,8600219910382,01-09-2025 00:00,Valid,1009.01,0.321906
6698881777902,8773459149038,01-09-2025 00:00,Not Valid,0,
6698881450222,6952632353006,01-09-2025 00:00,Valid,315,0.1
6698881220846,6082568421614,01-09-2025 00:00,Valid,21015.01,0.235234
6698881122542,6208714211566,01-09-2025 00:00,Valid,1501.01,0.205399
6698881188078,8773456593134,01-09-2025 00:00,Valid,2119,0.23777
6698880401646,5492597293229,01-09-2025 00:00,Valid,3052.01,0.355437
6698879254766,6772033388782,01-09-2025 00:00,Valid,1791.37,0.155018
6698878009582,7031381065966,01-09-2025 00:00,Valid,3880.01,0.224
6698877583598,8525010993390,01-09-2025 00:00,Valid,1726.21,0.215006
6698876797166,6730109845742,01-09-2025 00:00,Valid,319,0.088571
6698876698862,8634889109742,01-09-2025 00:00,Valid,968,0.150877
6698876010734,7428916740334,01-09-2025 00:00,Valid,1087.04,0.18757
